"","X","GEO.display.label","PROP_BA_2010","PROP_BA_2011","PROP_BA_2012","PROP_BA_2013","PROP_BA_2009","PROP_MHI_2010","PROP_MHI_2011","PROP_MHI_2012","PROP_MHI_2013","PROP_MHI_2009","PROP_MHV_2010","PROP_MHV_2011","PROP_MHV_2012","PROP_MHV_2013","PROP_MHV_2009","PERC_MHI_2009","PERC_MHV_2009","PERC_MHV_INCREASE","PERC_BA_2013","eligable","gentrified"
"149",149,"Census Tract 96.04",0,2.9,2.9,1.8,0.129546697038724,37441,43588,43588,48641,39844,223600,229900,229900,204100,197700,0.333333333333333,0.0432098765432099,0.617283950617284,0.185185185185185,1,0
"150",150,"Census Tract 97",2.4,2.3,2.3,3,0.0849813508064516,31549,30821,30821,32595,36250,276600,273600,273600,248400,246700,0.277777777777778,0.191358024691358,0.5,0.203703703703704,1,0
"151",151,"Census Tract 98.01",0,3.9,3.9,19.3,0.0680894736842105,31917,28900,28900,27100,31875,276300,225000,225000,171000,264100,0.197530864197531,0.228395061728395,0.0185185185185185,0.469135802469136,1,0
"152",152,"Census Tract 98.02",0,0,0,0,0.0155779005524862,23633,24464,24464,25086,28000,263800,254900,254900,122800,218900,0.123456790123457,0.0925925925925926,0.0123456790123457,0.0864197530864197,1,0
"153",153,"Census Tract 98.03",0,0,0,0,0.0580979178390546,30625,26471,26471,19345,27061,249000,275000,275000,230600,287500,0.111111111111111,0.271604938271605,0.0493827160493827,0.0864197530864197,1,0
"154",154,"Census Tract 98.04",0,4.9,4.9,4.5,0.0342801258992806,46554,50156,50156,44356,43275,232500,228600,228600,239600,218800,0.401234567901235,0.0864197530864197,0.827160493827161,0.228395061728395,0,0
"155",155,"Census Tract 98.07",6.1,0,0,0,0.0726111111111111,42420,38500,38500,35727,41263,254700,243600,243600,225900,254700,0.376543209876543,0.203703703703704,0.123456790123457,0.0864197530864197,1,0
"156",156,"Census Tract 99.01",51.1,51.8,51.8,24.5,0.220434042553191,76736,80036,80036,86500,74028,415700,360700,360700,342400,423900,0.672839506172839,0.555555555555556,0.0555555555555556,0.549382716049383,0,0
"157",157,"Census Tract 99.02",29.5,28.3,28.3,0,0.164599130434783,51400,52379,52379,42052,54896,264400,248800,248800,236400,261600,0.530864197530864,0.216049382716049,0.166666666666667,0.0864197530864197,0,0
"158",158,"Census Tract 99.03",22.7,27.3,27.3,6.6,0.211820213799806,52554,54667,54667,62219,41652,272900,277100,277100,263800,267800,0.388888888888889,0.234567901234568,0.425925925925926,0.290123456790123,1,0
"159",159,"Census Tract 99.04",9.4,8.3,8.3,10.4,0.0359586038961039,35302,37931,37931,35478,26926,228300,228500,228500,210800,222200,0.104938271604938,0.111111111111111,0.253086419753086,0.351851851851852,1,0
"160",160,"Census Tract 99.05",0,0,0,0,0.0472567344694887,35186,36185,36185,38310,32080,259000,277200,277200,232200,229300,0.209876543209877,0.12962962962963,0.524691358024691,0.0864197530864197,1,0
"161",161,"Census Tract 99.06",0,5.6,5.6,7.1,0.0939058507061197,34269,40085,40085,42240,34476,173700,206400,206400,203000,165900,0.240740740740741,0.037037037037037,0.950617283950617,0.314814814814815,1,0
"162",162,"Census Tract 99.07",0,0,0,0,0.0226471251409245,26612,24459,24459,23607,25482,213700,227800,227800,219600,212500,0.0864197530864197,0.0679012345679012,0.62962962962963,0.0864197530864197,1,0
