"","X","GEO.display.label","PROP_BA_2010","PROP_BA_2011","PROP_BA_2012","PROP_BA_2013","PROP_BA_2009","PROP_MHI_2010","PROP_MHI_2011","PROP_MHI_2012","PROP_MHI_2013","PROP_MHI_2009","PROP_MHV_2010","PROP_MHV_2011","PROP_MHV_2012","PROP_MHV_2013","PROP_MHV_2009","PERC_MHI_2009","PERC_MHV_2009","PERC_MHV_INCREASE","PERC_BA_2013","eligable","gentrified"
"63",63,"Census Tract 52.01",71.7,85.6,85.6,85.4,0.304112775518939,64811,72340,72340,92255,62854,487700,474800,474800,491900,504900,0.580246913580247,0.679012345679012,0.351851851851852,0.944444444444444,0,0
"64",64,"Census Tract 53.01",97,93.5,93.5,84.9,0.273622807017544,91638,93006,93006,83393,85355,440300,467800,467800,463100,444100,0.740740740740741,0.580246913580247,0.672839506172839,0.938271604938272,0,1
"65",65,"Census Tract 55",78.3,70,70,73.6,0.401475257523733,88831,94489,94489,96793,88458,562700,594300,594300,552800,552900,0.777777777777778,0.722222222222222,0.469135802469136,0.864197530864197,0,0
"66",66,"Census Tract 56",63.5,44.2,44.2,32.7,0.299109493954322,61806,64028,64028,70793,69929,386100,395500,395500,503200,389000,0.623456790123457,0.481481481481481,0.962962962962963,0.623456790123457,0,0
"67",67,"Census Tract 58",73.3,69.9,69.9,62.6,0.331848396501458,119167,120329,120329,118194,107208,476000,473800,473800,471000,451400,0.87037037037037,0.604938271604938,0.679012345679012,0.796296296296296,0,1
"68",68,"Census Tract 59",78.6,80.5,80.5,89.7,0.318272727272727,66790,83911,83911,83977,52130,471600,463500,463500,459400,470700,0.506172839506173,0.635802469135803,0.364197530864198,0.95679012345679,0,0
"69",69,"Census Tract 6",58.3,66.1,66.1,76.8,0.246038246669532,115648,113922,113922,125921,110000,1e+06,1e+06,1e+06,979600,1e+06,0.882716049382716,0.987654320987654,0.401234567901235,0.901234567901235,0,0
"70",70,"Census Tract 62.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617283950617284,0.0123456790123457,0.987654320987654,0.0864197530864197,1,0
"71",71,"Census Tract 64",12.8,0,0,0,0.101656502800249,21191,20965,20965,20321,18774,367800,366700,366700,358500,369600,0.0432098765432099,0.41358024691358,0.333333333333333,0.0864197530864197,0,0
"72",72,"Census Tract 65",100,98.5,98.5,81.2,0.452881578947368,113542,127963,127963,132794,117083,726400,719400,719400,698700,701400,0.919753086419753,0.833333333333333,0.450617283950617,0.919753086419753,0,0
"73",73,"Census Tract 66",71.1,69.7,69.7,74.2,0.412943396226415,94878,123170,123170,158286,91141,791700,832600,832600,910100,725500,0.802469135802469,0.851851851851852,0.95679012345679,0.876543209876543,0,1
"74",74,"Census Tract 67",80.1,82.1,82.1,74,0.334478043357421,141004,145313,145313,137143,135573,765800,753800,753800,759800,733400,0.950617283950617,0.864197530864197,0.648148148148148,0.87037037037037,0,0
"75",75,"Census Tract 68.01",53.8,43,43,28.9,0.348239234449761,77955,83618,83618,85114,64769,453700,453300,453300,467600,445500,0.592592592592593,0.592592592592593,0.703703703703704,0.580246913580247,0,0
"76",76,"Census Tract 68.02",29.4,39.6,39.6,38.1,0.202348204570185,86719,99500,99500,104239,72885,474700,509800,509800,512100,479600,0.648148148148148,0.654320987654321,0.753086419753086,0.660493827160494,0,1
"77",77,"Census Tract 68.04",0.5,0,0,0,0.0128512396694215,0,0,0,0,0,0,0,0,0,0,0.00617283950617284,0.0123456790123457,0.993827160493827,0.0864197530864197,1,0
"78",78,"Census Tract 69",22.9,43.3,43.3,70,0.189002200220022,115299,118500,118500,111667,110865,590700,593800,593800,644000,558900,0.901234567901235,0.740740740740741,0.91358024691358,0.851851851851852,0,1
"79",79,"Census Tract 7.01",92.5,64.8,64.8,49.7,0.318507007007007,79649,81039,81039,70515,77019,393100,395200,395200,374800,411200,0.691358024691358,0.54320987654321,0.185185185185185,0.734567901234568,0,0
"80",80,"Census Tract 7.02",92.6,90.6,90.6,75.7,0.407495016611296,63794,66352,66352,70033,56875,326500,328700,328700,286100,345100,0.54320987654321,0.388888888888889,0.0679012345679012,0.888888888888889,0,0
