"","GEO.display.label","PROP_BA_2010","PROP_BA_2011","PROP_BA_2012","PROP_BA_2013","PROP_BA_2009","PROP_MHI_2010","PROP_MHI_2011","PROP_MHI_2012","PROP_MHI_2013","PROP_MHI_2009","PROP_MHV_2010","PROP_MHV_2011","PROP_MHV_2012","PROP_MHV_2013","PROP_MHV_2009"
"1","Census Tract 1, District of Columbia, District of Columbia","67.5","68.9","68.9","79.0",0.329765047135605,"109947","136842","136842","146161","122455","1,000,000+","1,000,000+","1,000,000+","1,000,000+","1,000,000+"
"2","Census Tract 10.01, District of Columbia, District of Columbia","27.5","19.2","19.2","21.6",0.266666553710607,"142697","147500","147500","156786","136121","836900","844400","844400","846600","817700"
"3","Census Tract 10.02, District of Columbia, District of Columbia","35.8","32.9","32.9","15.2",0.237334912536443,"85543","89119","89119","84063","84310","453100","463600","463600","436000","437000"
"4","Census Tract 11, District of Columbia, District of Columbia","43.1","40.9","40.9","60.1",0.303644328401509,"141607","128909","128909","129118","154340","784400","826700","826700","849500","805100"
"5","Census Tract 12, District of Columbia, District of Columbia","66.7","77.6","77.6","72.0",0.325019364092756,"93785","109405","109405","105262","110625","728000","760100","760100","762500","738100"
"6","Census Tract 13.01, District of Columbia, District of Columbia","77.0","70.6","70.6","68.8",0.267904788574629,"88981","79098","79098","109567","101366","1,000,000+","1,000,000+","1,000,000+","1,000,000+","982100"
"7","Census Tract 13.02, District of Columbia, District of Columbia","88.7","80.8","80.8","62.9",0.344157715260017,"78961","78140","78140","83583","79223","422100","408800","408800","407400","383000"
"8","Census Tract 14.01, District of Columbia, District of Columbia","53.8","41.9","41.9","47.9",0.316970409404135,"109609","126576","126576","120417","103529","922000","905800","905800","922800","911000"
"9","Census Tract 14.02, District of Columbia, District of Columbia","0.0","12.9","12.9","68.4",0.263984070091597,"100750","87826","87826","105568","88194","720600","756100","756100","775500","765400"
"10","Census Tract 15, District of Columbia, District of Columbia","63.9","46.9","46.9","53.4",0.249941605839416,"179125","179859","179859","204333","180536","851100","849600","849600","896600","840700"
"11","Census Tract 16, District of Columbia, District of Columbia","43.0","46.5","46.5","27.9",0.248700801424755,"133824","135403","135403","140688","137434","716800","710200","710200","709900","701600"
"12","Census Tract 17.02, District of Columbia, District of Columbia","33.3","29.7","29.7","16.3",0.218146073036518,"91989","106154","106154","98657","86979","419800","443000","443000","415700","380900"
"13","Census Tract 18.03, District of Columbia, District of Columbia","6.2","20.7","20.7","18.4",0.190340202177294,"35350","38000","38000","44335","38821","451600","513200","513200","466900","428400"
"14","Census Tract 18.04, District of Columbia, District of Columbia","0.0","0.0","0.0","12.0",0.159314855185301,"40281","38007","38007","42476","35168","462300","465500","465500","422300","474800"
"15","Census Tract 19.01, District of Columbia, District of Columbia","12.4","12.8","12.8","8.0",0.205216606498195,"48073","53750","53750","78662","52031","400300","387000","387000","379200","403200"
"16","Census Tract 19.02, District of Columbia, District of Columbia","23.6","30.9","30.9","31.4",0.26155561412757,"72273","64196","64196","74625","63191","423400","407100","407100","409300","408700"
"17","Census Tract 2.01, District of Columbia, District of Columbia","0.0","0.4","0.4","0.2",0.0109581225407532,"-","-","-","-","119722","-","-","-","-","916700"
"18","Census Tract 2.02, District of Columbia, District of Columbia","5.5","11.3","11.3","21.7",0.286503382949932,"120114","135893","135893","149375","119688","1,000,000+","1,000,000+","1,000,000+","1,000,000+","958300"
"19","Census Tract 20.01, District of Columbia, District of Columbia","40.4","34.9","34.9","31.0",0.188724826388889,"43478","47878","47878","49006","38682","654900","753300","753300","675800","728700"
"20","Census Tract 20.02, District of Columbia, District of Columbia","17.0","12.3","12.3","24.4",0.225090853284223,"53373","56808","56808","59840","73500","614400","589600","589600","483300","644000"
"21","Census Tract 21.01, District of Columbia, District of Columbia","9.5","10.9","10.9","13.1",0.0996379919273461,"41886","43769","43769","45987","44792","347700","338400","338400","323200","353900"
"22","Census Tract 21.02, District of Columbia, District of Columbia","0.0","0.0","0.0","6.8",0.129726808281796,"42522","45046","45046","50142","48875","384700","374900","374900","366300","378300"
"23","Census Tract 22.01, District of Columbia, District of Columbia","11.1","17.6","17.6","23.8",0.129658657513349,"70541","60882","60882","68170","68382","415400","377000","377000","367200","407600"
"24","Census Tract 22.02, District of Columbia, District of Columbia","25.3","32.4","32.4","22.4",0.162848557692308,"42283","44096","44096","41875","40253","340900","346000","346000","341500","336600"
"25","Census Tract 23.01, District of Columbia, District of Columbia","13.7","14.4","14.4","15.1",0.155781331028522,"61500","54167","54167","66509","74700","385000","395600","395600","373400","384600"
"26","Census Tract 23.02, District of Columbia, District of Columbia","13.8","15.3","15.3","5.1",0.20439447102605,"43342","54022","54022","60263","73826","336500","337700","337700","305900","291000"
